train_number,train_name,train_type,train_zone,sim_date,stop_seq,station_code,station_name,station_zone,lat,lon,dist_from_prev_km,cum_distance_km,scheduled_arrival_min,actual_arrival_min,delay_minutes,halt_minutes,tsr_active,tsr_speed_kmph,congestion_index,precedence_penalty_min,weather_state,priority_rank
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,0,RNC,RANCHI,UNK,23.348811,85.33352,,0.0,0.0,0.0,0.0,0,0,,0.002,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,1,NKM,NAMKON,UNK,23.351755,85.376672,4.417,4.417,4.0,4.0,0.0,0,0,,0.296,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,2,TIS,TATISILWAI,UNK,23.369845,85.435706,6.353,10.77,11.0,11.0,0.0,0,0,,0.207,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,3,GAG,GANGAGHAT,UNK,23.36139824,85.5070501,7.343,18.113,19.0,19.0,0.0,0,0,,0.107,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,5,KITA,KITA,UNK,23.3648848,85.76424803,26.257,44.37,47.0,54.7,7.7,0,0,,0.155,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,6,SLF,SILLI,UNK,23.3515634,85.82812939,6.687,51.058,57.0,63.5,6.5,0,0,,0.267,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,7,MURI,MURI,UNK,23.37628437,85.86699069,4.826,55.884,65.0,70.7,5.7,2,0,,0.018,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,8,THO,TULIN,UNK,23.378363,85.902125,3.593,59.477,71.0,76.5,5.5,0,0,,0.39,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,9,JAA,JHALIDA,UNK,23.370005,85.975282,7.525,67.002,81.0,84.3,3.3,0,0,,0.046,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,10,KSX,KOTSHILA,UNK,23.411691,86.079548,11.607,78.609,96.0,98.8,2.8,0,0,,0.315,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,11,DRGU,DAMRU GHUTU,UNK,23.45136,86.08981,4.534,83.142,103.0,104.8,1.8,0,0,,0.044,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,12,PNW,PUNDHAG,UNK,23.508909,86.089576,6.399,89.542,111.0,111.5,0.5,0,0,,0.398,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,13,RDF,RADHAGAON,UNK,23.59787,86.089065,9.892,99.434,124.0,124.0,0.0,0,0,,0.232,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,14,BKSC,BOKARO STEEL CITY,UNK,23.656551,86.085016,6.538,105.972,133.0,133.0,0.0,5,0,,0.237,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,15,TKB,TUPKADIH,UNK,23.71361759,86.06389046,6.7,112.672,144.0,144.0,0.0,0,0,,0.303,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,16,RJB,RAJABERA,UNK,23.751105,86.080936,4.515,117.187,156.0,156.0,0.0,0,0,,0.165,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,17,CRP,CHANDRAPURA,UNK,23.755676,86.119775,3.985,121.173,163.0,163.0,0.0,2,0,,0.146,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,18,DDGA,DUGDA,UNK,23.75873842,86.16192797,4.304,125.476,170.0,170.0,0.0,0,0,,0.33,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,19,JNN,Jamuniatand,ECR,23.75454,86.191952,3.091,128.567,174.0,192.2,18.2,0,0,,0.837,0.0,foggy,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,20,PLJE,PHULWARTANR,UNK,23.77515,86.226577,4.203,132.771,182.0,199.5,17.5,0,0,,0.167,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,21,KTH,KATRASGARH,UNK,23.795757,86.302399,8.048,140.819,196.0,213.0,17.0,0,0,,0.396,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,22,SJA,SIJUA,UNK,23.79015569,86.3297281,2.849,143.668,201.0,218.0,17.0,0,0,,0.33,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,23,BZS,BANSJORA,UNK,23.789931,86.354545,2.525,146.193,205.0,221.7,16.7,0,0,,0.035,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,24,BZE,BASERIA,UNK,23.786754,86.381653,2.781,148.974,208.0,224.6,16.6,0,0,,0.279,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,25,KDS,KASUNDA JN,UNK,23.78998861,86.39589356,1.493,150.467,210.0,226.5,16.5,0,0,,0.356,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,26,DHN,DHANBAD JN,UNK,23.790966,86.428956,3.366,153.833,217.0,232.3,15.3,5,0,,0.029,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,27,DOKM,DOKRA HALT,UNK,23.782884,86.480808,5.352,159.184,222.0,236.4,14.4,0,0,,0.073,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,28,PKA,PRADHANKHUNTA,UNK,23.77259,86.515977,3.757,162.942,225.0,239.6,14.6,0,0,,0.066,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,29,CAM,CHHOTA AMBANA,UNK,23.76275318,86.57461305,6.066,169.008,230.0,243.9,13.9,0,0,,0.285,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,30,KAO,KALUBATHAN,UNK,23.758149,86.661294,8.836,177.845,237.0,250.0,13.0,0,0,,0.269,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,31,TNW,THAPAR NAGAR,UNK,23.769198,86.70137,4.259,182.104,241.0,253.6,12.6,0,0,,0.344,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,32,MMU,MUGMA,UNK,23.751414,86.747614,5.105,187.209,245.0,257.1,12.1,0,0,,0.021,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,33,KMME,KUMARDUBI,UNK,23.747453,86.794065,4.748,191.957,249.0,260.6,11.6,0,0,,0.007,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,34,BRR,BARAKAR,UNK,23.7416829,86.818859,2.604,194.561,251.0,262.5,11.5,0,0,,0.071,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,35,ULT,KULTI,UNK,23.737816,86.84887,3.085,197.646,254.0,265.6,11.6,0,0,,0.117,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,36,STN,SITARAMPUR,UNK,23.723864,86.896472,5.088,202.734,258.0,269.1,11.1,0,0,,0.349,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,37,BCQ,BARACHAK,UNK,23.706726,86.928133,3.744,206.478,261.0,272.3,11.3,0,0,,0.118,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,38,ASN,ASANSOL JN,UNK,23.691441,86.975152,5.08,211.558,265.0,276.2,11.2,2,0,,0.183,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,39,KPK,KALIPAHARI,UNK,23.6652,87.01593,5.075,216.633,269.0,279.9,10.9,0,0,,0.391,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,40,RNG,RANIGANJ,UNK,23.602851,87.11698,12.411,229.044,278.0,288.5,10.5,1,0,,0.315,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,41,UDL,ANDAL JN,UNK,23.579012,87.181194,7.06,236.104,284.0,294.0,10.0,0,0,,0.066,0.0,clear,2
12020,Ranchi-Howrah Shatabdi Express,Shtb,ER,2026-01-01,42,OYR,WARIA,UNK,23.537562,87.246177,8.069,244.173,290.0,299.4,9.4,0,0,,0.369,0.0,clear,2
