train_number,sim_date,train_type,train_zone,priority_rank,is_train_period,cur_station_name,next_station_name,cur_stop_seq,cur_delay_minutes,cur_cum_distance_km,distance_remaining_km,cur_scheduled_min,next_scheduled_min,upcoming_dist_km,upcoming_tsr_frac,upcoming_congestion_mean,upcoming_foggy_frac,next_station_zone,target_delay_minutes,hist_avg_delay_by_train,hist_avg_delay_by_type
12032,2026-01-01,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.299,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-01,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,0.0,42.981,416.33,28.0,61.0,7.189,0.0,0.04,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-01,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,0.0,79.043,380.268,61.0,76.0,7.514,0.0,0.136,1.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-01,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,0.0,99.923,359.388,76.0,111.0,13.049,0.0,0.291,0.0,UNK,0.0,10.368840579710145,16.703789389708817
12032,2026-01-01,Shtb,NR,2,True,LUDHIANA JN,AMBALA CANT JN,20,0.0,148.382,310.929,111.0,198.0,7.475,0.0,0.396,0.0,UNK,8.7,10.368840579710145,16.703789389708817
12032,2026-01-01,Shtb,NR,2,True,AMBALA CANT JN,NEW DELHI,33,8.7,261.81,197.50099999999998,198.0,356.0,1.843,0.0,0.02,1.0,UNK,20.8,10.368840579710145,16.703789389708817
12032,2026-01-02,Shtb,NR,2,True,AMRITSAR JN,BEAS,0,0.0,0.0,459.311,0.0,28.0,5.524,0.0,0.352,1.0,UNK,6.1,10.368840579710145,16.703789389708817
12032,2026-01-02,Shtb,NR,2,True,BEAS,JALANDHAR CITY,6,6.1,42.981,416.33,28.0,61.0,7.189,0.0,0.931,1.0,UNK,9.9,10.368840579710145,16.703789389708817
12032,2026-01-02,Shtb,NR,2,True,JALANDHAR CITY,PHAGWARA JN,11,9.9,79.043,380.268,61.0,76.0,7.514,0.0,0.159,1.0,UNK,12.7,10.368840579710145,16.703789389708817
12032,2026-01-02,Shtb,NR,2,True,PHAGWARA JN,LUDHIANA JN,14,12.7,99.923,359.388,76.0,111.0,13.049,0.0,0.303,0.0,UNK,10.6,10.368840579710145,16.703789389708817
